Wall time,Step,Value
1736730840.5263731,13340951,2.8783607482910156
1736730880.9341667,13347023,1.7998803853988647
1736730894.842439,13349164,-0.395772784948349
1736730995.6068015,13364140,1.0573045015335083
1736731167.511755,13389697,0.4446316361427307
1736731232.29107,13399419,0.1996387541294098
1736731243.9808464,13401116,1.6932514905929565
1736731286.7789237,13407428,1.182767391204834
1736731669.7828135,13463522,1.7050496339797974
1736731934.742622,13502932,2.133323907852173
1736732279.026837,13554090,1.025982141494751
1736732435.011966,13577457,0.7947935461997986
1736732699.675662,13616827,-0.12509293854236603
1736732963.5722795,13655999,1.3793219327926636
1736733353.7647932,13713358,0.6925435662269592
1736733520.0492594,13738184,1.9317184686660767
1736733760.2293248,13774153,1.5576598644256592
1736734699.696991,13914452,0.7851276993751526
1736735486.2588105,14032009,1.2252346277236938
1736736174.931873,14135588,1.338338017463684
1736736360.4803538,14163980,0.8300415873527527
1736736513.3860316,14187138,0.7369905710220337
1736736748.9550388,14222888,0.691936194896698
1736736827.0762913,14234489,-0.013281119056046009
1736736935.2779257,14251178,0.9681181907653809
1736736976.2400372,14257496,1.451250672340393
1736737106.1209586,14276856,1.4680758714675903
1736737261.6159663,14300483,0.7212882041931152
1736737396.9480674,14320357,1.796255350112915
1736737568.1038208,14346305,2.1317479610443115
1736737798.026454,14380855,0.2235221415758133
1736738115.4677258,14428704,0.3373498022556305
1736738444.7569673,14478302,0.8531709313392639
1736738542.718303,14493095,1.0269736051559448
1736738723.2906225,14520339,0.48023125529289246
1736738775.8427618,14528123,1.2796800136566162
1736738908.7366984,14547906,2.027745246887207
1736738921.9453886,14549812,-0.7942449450492859
1736738949.9083264,14554041,-1.305558443069458
1736738994.8198292,14560551,-2.044121742248535
1736739031.6325898,14565928,0.020276270806789398
1736739816.648827,14683342,0.5469587445259094
1736739910.3486454,14697153,2.040414810180664
1736740041.7694514,14715696,0.9110952019691467
1736740306.2051601,14754606,1.2475720643997192
1736740352.7585533,14761589,-0.2674582004547119
1736740625.121296,14801554,-0.1624435931444168
